PARTITION HOSTNAMES CPUS(A/I/O/T) MEMORY
batch dbn302-02-l 0/0/16/16 120832
batch dbn302-02-r 0/0/16/16 55296
batch dbn302-03-l 0/0/16/16 55296
batch dbn302-03-r 0/0/16/16 120832
batch dbn302-04-l 0/0/16/16 120832
batch dbn302-04-r 0/0/16/16 55296
batch dbn302-05-r 0/0/16/16 55296
batch dbn302-06-r 0/0/16/16 55296
batch dbn302-07-r 0/0/16/16 55296
batch dbn302-08-r 0/0/16/16 55296
batch dbn503-33-l 0/0/16/16 251904
batch dbn503-35-l 0/0/16/16 251904
batch dlm104-21 0/0/64/64 1011843
batch dlm104-25 0/0/64/64 1011843
batch dlm104-29 0/0/64/64 768883
batch dlm104-33 0/0/64/64 768883
batch dlm104-37 0/0/64/64 768883
batch dlm511-01 0/0/64/64 1409000
batch dlm511-05 0/0/64/64 1543042
batch dlm511-09 0/0/64/64 1543042
batch dlm511-13 0/0/64/64 1543042
batch dlmn514-11 0/0/80/80 2059148
batch dlmn514-19 0/0/64/64 2059148
batch dlmn514-27 0/0/64/64 2059148
batch ds502-21-l 0/0/16/16 252800
batch ds503-01 0/0/64/64 252803
batch ds503-13 0/0/64/64 252803
batch ds503-21 0/0/64/64 252803
batch ds503-25 0/0/64/64 252803
batch ds503-29 0/0/64/64 252803
batch ds505-01 0/0/64/64 252803
batch ds505-05 0/0/64/64 252803
batch ds505-09 0/0/64/64 252803
batch ds505-13 0/0/64/64 252803
batch ds505-17 0/0/64/64 252803
batch ds505-21 0/0/64/64 252803
batch ds505-25 0/0/64/64 252803
batch ds505-29 0/0/64/64 252803
batch ds506-01 0/0/64/64 252803
batch ds506-05 0/0/64/64 252803
batch ds506-09 0/0/64/64 252803
batch ds506-13 0/0/64/64 252803
batch ds506-17 0/0/64/64 252803
batch ds506-21 0/0/64/64 252803
batch ds506-25 0/0/64/64 252803
batch ds506-29 0/0/64/64 252803
batch ds506-33 0/0/64/64 252803
batch gpu510-07 0/0/32/32 375618
batch sdlm112-18 0/0/64/64 510000
batch besest514-03 0/80/0/80 1540000
batch cn603-08-r 0/40/0/40 375618
batch cn605-13-r 0/40/0/40 375618
batch cn509-03-l 38/2/0/40 375618
batch cn509-05-r 29/11/0/40 375618
batch cn509-06-l 29/11/0/40 375618
batch cn509-06-r 29/11/0/40 375618
batch cn509-07-l 13/27/0/40 375618
batch cn509-08-l 29/11/0/40 375618
batch cn509-08-r 29/11/0/40 375618
batch cn509-09-l 39/1/0/40 375618
batch cn509-10-r 32/8/0/40 375618
batch cn509-11-l 16/24/0/40 375618
batch cn509-13-l 32/8/0/40 375618
batch cn509-13-r 32/8/0/40 375618
batch cn509-14-l 16/24/0/40 375618
batch cn509-14-r 32/8/0/40 375618
batch cn509-15-l 16/24/0/40 375618
batch cn509-15-r 22/18/0/40 375618
batch cn509-16-r 37/3/0/40 375618
batch cn509-17-l 16/24/0/40 375618
batch cn509-17-r 32/8/0/40 375618
batch cn509-18-l 36/4/0/40 375618
batch cn509-18-r 32/8/0/40 375618
batch cn509-19-l 16/24/0/40 375618
batch cn509-20-r 16/24/0/40 375618
batch cn509-21-l 16/24/0/40 375618
batch cn509-21-r 16/24/0/40 375618
batch cn509-22-l 32/8/0/40 375618
batch cn509-23-l 18/22/0/40 375618
batch cn509-24-l 36/4/0/40 375618
batch cn509-25-l 16/24/0/40 375618
batch cn509-25-r 16/24/0/40 375618
batch cn509-26-l 16/24/0/40 375618
batch cn509-26-r 16/24/0/40 375618
batch cn509-27-l 36/4/0/40 375618
batch cn509-27-r 16/24/0/40 375618
batch cn509-28-r 16/24/0/40 375618
batch cn509-29-l 1/39/0/40 375618
batch cn509-29-r 32/8/0/40 375618
batch cn512-02-l 32/8/0/40 375618
batch cn512-02-r 32/8/0/40 375618
