PARTITION HOSTNAMES CPUS(A/I/O/T) MEMORY
smc_64_128 cn613-37-r 0/20/0/20 120832
smc_64_128 cn613-38-l 0/20/0/20 120832
smc_64_128 cn613-38-r 0/20/0/20 120832
smc_64_128 cn613-39-l 0/20/0/20 120832
smc_64_128 cn613-39-r 0/20/0/20 120832
smc_64_128 dbn302-13-l 0/0/20/20 120832
smc_64_128 dbn302-14-l 0/0/20/20 120832
smc_64_128 dbn303-39-l 0/0/20/20 120832
smc_64_128 dbn306-31-r 0/0/20/20 120832
smc_64_128 cn612-08-l 0/0/20/20 120832
smc_64_128 cn612-28-l 20/0/0/20 120832
smc_64_128 cn612-28-r 20/0/0/20 120832
smc_64_128 cn612-02-l 0/20/0/20 120832
smc_64_128 cn612-02-r 0/20/0/20 120832
smc_64_128 cn612-03-l 0/20/0/20 120832
smc_64_128 cn612-03-r 0/20/0/20 120832
smc_64_128 cn612-04-l 0/20/0/20 120832
smc_64_128 cn612-04-r 0/20/0/20 120832
smc_64_128 cn612-05-l 0/20/0/20 120832
smc_64_128 cn612-05-r 0/20/0/20 120832
smc_64_128 cn612-06-l 0/20/0/20 120832
smc_64_128 cn612-06-r 0/20/0/20 120832
smc_64_128 cn612-07-l 0/20/0/20 120832
smc_64_128 cn612-07-r 0/20/0/20 120832
smc_64_128 cn612-08-r 0/20/0/20 120832
smc_64_128 cn612-24-r 0/20/0/20 120832
smc_64_128 cn612-29-l 0/20/0/20 120832
smc_64_128 cn612-29-r 0/20/0/20 120832
smc_64_128 cn612-30-l 0/20/0/20 120832
smc_64_128 cn612-30-r 0/20/0/20 120832
smc_64_128 cn612-31-l 0/20/0/20 120832
smc_64_128 cn612-31-r 0/20/0/20 120832
smc_128_512 cn613-09-l 0/0/20/20 120832
smc_128_512 cn613-10-l 0/0/20/20 120832
smc_128_512 cn613-11-l 0/0/20/20 120832
smc_128_512 cn613-12-l 0/0/20/20 120832
smc_128_512 cn613-12-r 0/0/20/20 120832
smc_128_512 cn613-13-l 0/0/20/20 120832
smc_128_512 cn613-14-l 0/0/20/20 120832
smc_128_512 cn613-14-r 0/0/20/20 120832
smc_128_512 cn613-15-l 0/0/20/20 120832
smc_128_512 cn613-16-l 0/0/20/20 120832
smc_128_512 cn613-17-r 0/0/20/20 120832
smc_128_512 cn613-18-r 0/0/20/20 120832
smc_128_512 cn613-19-l 0/0/20/20 120832
smc_128_512 cn613-19-r 0/0/20/20 120832
smc_128_512 cn613-20-l 0/0/20/20 120832
smc_128_512 cn613-20-r 0/0/20/20 120832
smc_128_512 cn613-26-r 0/0/20/20 120832
smc_128_512 cn613-27-r 0/0/20/20 120832
smc_128_512 cn613-06-l 0/20/0/20 120832
smc_128_512 cn613-09-r 0/20/0/20 120832
smc_128_512 cn613-10-r 0/20/0/20 120832
smc_128_512 cn613-17-l 0/20/0/20 120832
smc_128_512 cn613-18-l 0/20/0/20 120832
smc_128_512 cn613-24-l 0/20/0/20 120832
smc_128_512 cn613-24-r 0/20/0/20 120832
smc_128_512 cn613-25-l 0/20/0/20 120832
smc_128_512 cn613-25-r 0/20/0/20 120832
smc_128_512 cn613-26-l 0/20/0/20 251904
smc_128_512 cn613-27-l 0/20/0/20 120832
smc_128_512 cn613-28-l 0/20/0/20 120832
smc_128_512 cn613-28-r 0/20/0/20 120832
smc_128_512 cn613-29-l 0/20/0/20 120832
smc_128_512 cn613-29-r 0/20/0/20 120832
smc_128_512 cn613-30-l 0/20/0/20 120832
smc_128_512 cn613-30-r 0/20/0/20 120832
smc_128_512 cn613-31-l 0/20/0/20 120832
smc_128_512 cn613-31-r 0/20/0/20 120832
smc_128_512 cn613-32-l 0/20/0/20 120832
smc_128_512 cn613-32-r 0/20/0/20 120832
smc_128_512 cn613-33-l 0/20/0/20 120832
smc_128_512 cn613-33-r 0/20/0/20 120832
smc_128_512 cn613-34-l 0/20/0/20 120832
smc_128_512 cn613-34-r 0/20/0/20 120832
smc_128_512 cn613-36-l 0/20/0/20 120832
smc_128_512 cn613-36-r 0/20/0/20 120832
smc_128_512 cn613-37-l 0/20/0/20 120832
smc_128_512 cn613-37-r 0/20/0/20 120832
smc_128_512 cn613-38-l 0/20/0/20 120832
smc_128_512 cn613-38-r 0/20/0/20 120832
smc_128_512 cn613-39-l 0/20/0/20 120832
smc_128_512 cn613-39-r 0/20/0/20 120832
smc_128_512 dbn302-13-l 0/0/20/20 120832
smc_128_512 dbn302-14-l 0/0/20/20 120832
smc_128_512 dbn303-39-l 0/0/20/20 120832
smc_128_512 dbn306-31-r 0/0/20/20 120832
smc_128_512 cn612-08-l 0/0/20/20 120832
smc_128_512 cn612-28-l 20/0/0/20 120832
smc_128_512 cn612-28-r 20/0/0/20 120832
smc_128_512 cn612-02-l 0/20/0/20 120832
smc_128_512 cn612-02-r 0/20/0/20 120832
smc_128_512 cn612-03-l 0/20/0/20 120832
smc_128_512 cn612-03-r 0/20/0/20 120832
smc_128_512 cn612-04-l 0/20/0/20 120832
smc_128_512 cn612-04-r 0/20/0/20 120832
smc_128_512 cn612-05-l 0/20/0/20 120832
smc_128_512 cn612-05-r 0/20/0/20 120832
smc_128_512 cn612-06-l 0/20/0/20 120832
smc_128_512 cn612-06-r 0/20/0/20 120832
smc_128_512 cn612-07-l 0/20/0/20 120832
smc_128_512 cn612-07-r 0/20/0/20 120832
smc_128_512 cn612-08-r 0/20/0/20 120832
smc_128_512 cn612-11-l 0/20/0/20 251904
smc_128_512 cn612-12-l 0/20/0/20 251904
smc_128_512 cn612-24-r 0/20/0/20 120832
smc_128_512 cn612-29-l 0/20/0/20 120832
smc_128_512 cn612-29-r 0/20/0/20 120832
smc_128_512 cn612-30-l 0/20/0/20 120832
smc_128_512 cn612-30-r 0/20/0/20 120832
smc_128_512 cn612-31-l 0/20/0/20 120832
smc_128_512 cn612-31-r 0/20/0/20 120832
smc_128 cn613-09-l 0/0/20/20 120832
smc_128 cn613-10-l 0/0/20/20 120832
smc_128 cn613-11-l 0/0/20/20 120832
smc_128 cn613-12-l 0/0/20/20 120832
smc_128 cn613-12-r 0/0/20/20 120832
smc_128 cn613-13-l 0/0/20/20 120832
smc_128 cn613-14-l 0/0/20/20 120832
smc_128 cn613-14-r 0/0/20/20 120832
smc_128 cn613-15-l 0/0/20/20 120832
smc_128 cn613-16-l 0/0/20/20 120832
smc_128 cn613-17-r 0/0/20/20 120832
smc_128 cn613-18-r 0/0/20/20 120832
smc_128 cn613-19-l 0/0/20/20 120832
smc_128 cn613-19-r 0/0/20/20 120832
smc_128 cn613-20-l 0/0/20/20 120832
smc_128 cn613-20-r 0/0/20/20 120832
smc_128 cn613-26-r 0/0/20/20 120832
smc_128 cn613-27-r 0/0/20/20 120832
smc_128 cn613-06-l 0/20/0/20 120832
smc_128 cn613-09-r 0/20/0/20 120832
smc_128 cn613-10-r 0/20/0/20 120832
smc_128 cn613-17-l 0/20/0/20 120832
smc_128 cn613-18-l 0/20/0/20 120832
smc_128 cn613-24-l 0/20/0/20 120832
smc_128 cn613-24-r 0/20/0/20 120832
smc_128 cn613-25-l 0/20/0/20 120832
smc_128 cn613-25-r 0/20/0/20 120832
smc_128 cn613-26-l 0/20/0/20 251904
smc_128 cn613-27-l 0/20/0/20 120832
smc_128 cn613-28-l 0/20/0/20 120832
smc_128 cn613-28-r 0/20/0/20 120832
smc_128 cn613-29-l 0/20/0/20 120832
smc_128 cn613-29-r 0/20/0/20 120832
smc_128 cn613-30-l 0/20/0/20 120832
smc_128 cn613-30-r 0/20/0/20 120832
smc_128 cn613-31-l 0/20/0/20 120832
smc_128 cn613-31-r 0/20/0/20 120832
smc_128 cn613-32-l 0/20/0/20 120832
smc_128 cn613-32-r 0/20/0/20 120832
smc_128 cn613-33-l 0/20/0/20 120832
smc_128 cn613-33-r 0/20/0/20 120832
smc_128 cn613-34-l 0/20/0/20 120832
smc_128 cn613-34-r 0/20/0/20 120832
smc_128 cn613-36-l 0/20/0/20 120832
smc_128 cn613-36-r 0/20/0/20 120832
smc_128 cn613-37-l 0/20/0/20 120832
smc_128 cn613-37-r 0/20/0/20 120832
smc_128 cn613-38-l 0/20/0/20 120832
smc_128 cn613-38-r 0/20/0/20 120832
smc_128 cn613-39-l 0/20/0/20 120832
smc_128 cn613-39-r 0/20/0/20 120832
smc_128 dbn302-13-l 0/0/20/20 120832
smc_128 dbn302-14-l 0/0/20/20 120832
smc_128 dbn303-39-l 0/0/20/20 120832
smc_128 dbn306-31-r 0/0/20/20 120832
smc_128 cn612-08-l 0/0/20/20 120832
smc_128 cn612-28-l 20/0/0/20 120832
smc_128 cn612-28-r 20/0/0/20 120832
smc_128 cn612-02-l 0/20/0/20 120832
smc_128 cn612-02-r 0/20/0/20 120832
smc_128 cn612-03-l 0/20/0/20 120832
smc_128 cn612-03-r 0/20/0/20 120832
smc_128 cn612-04-l 0/20/0/20 120832
smc_128 cn612-04-r 0/20/0/20 120832
smc_128 cn612-05-l 0/20/0/20 120832
smc_128 cn612-05-r 0/20/0/20 120832
smc_128 cn612-06-l 0/20/0/20 120832
smc_128 cn612-06-r 0/20/0/20 120832
smc_128 cn612-07-l 0/20/0/20 120832
smc_128 cn612-07-r 0/20/0/20 120832
smc_128 cn612-08-r 0/20/0/20 120832
smc_128 cn612-24-r 0/20/0/20 120832
smc_128 cn612-29-l 0/20/0/20 120832
smc_128 cn612-29-r 0/20/0/20 120832
smc_128 cn612-30-l 0/20/0/20 120832
smc_128 cn612-30-r 0/20/0/20 120832
smc_128 cn612-31-l 0/20/0/20 120832
smc_128 cn612-31-r 0/20/0/20 120832
c2034 cn603-03-r 0/40/0/40 375618
c2034 cn603-04-l 0/40/0/40 375618
c2034 cn603-07-l 0/40/0/40 375618
c2034 cn603-09-r 0/40/0/40 375618
c2034 cn603-10-l 0/40/0/40 375618
c2034 cn603-11-l 0/40/0/40 375618
gpu_wide gpu208-10 40/8/0/48 763000
gpu_wide gpu212-06 40/8/0/48 763000
gpu_wide gpu213-06 30/18/0/48 763000
gpu_wide gpu214-14 1/47/0/48 763000
gpu_wide gpu213-18 48/0/0/48 763000
gpu_wide24 gpu208-10 40/8/0/48 763000
gpu_wide24 gpu208-14 20/28/0/48 763000
gpu_wide24 gpu208-18 30/18/0/48 763000
gpu_wide24 gpu210-02 30/18/0/48 763000
gpu_wide24 gpu210-10 5/43/0/48 763000
gpu_wide24 gpu210-14 1/47/0/48 763000
gpu_wide24 gpu212-06 40/8/0/48 763000
gpu_wide24 gpu213-06 30/18/0/48 763000
gpu_wide24 gpu214-14 1/47/0/48 763000
gpu_wide24 gpu211-18 48/0/0/48 763000
gpu_wide24 gpu212-10 48/0/0/48 763000
gpu_wide24 gpu213-18 48/0/0/48 763000
gpu_wide24 gpu211-06 0/48/0/48 763000
gpu_wide24 gpu211-10 0/48/0/48 763000
gpu_wide24 gpu213-02 0/48/0/48 763000
gpu4 gpu510-07 0/0/32/32 375618
gpu4 dgpu501-02 4/32/0/36 252715
gpu4 dgpu501-14 1/35/0/36 252715
gpu4 dgpu501-18 1/35/0/36 252715
gpu4 dgpu501-22 1/35/0/36 252715
gpu4 dgpu501-26 6/30/0/36 252715
gpu4 dgpu501-30 7/29/0/36 252715
gpu4 dgpu502-29 6/30/0/36 252715
gpu4 dgpu502-33 27/9/0/36 252715
gpu4 dgpu502-37 13/23/0/36 252715
gpu4 dgpu609-10 1/35/0/36 252715
gpu4 dgpu609-18 2/34/0/36 252715
gpu4 dgpu609-22 6/30/0/36 252715
gpu4 gpu208-02 18/30/0/48 763000
gpu4 gpu208-06 33/15/0/48 763000
gpu4 gpu208-10 40/8/0/48 763000
gpu4 gpu208-14 20/28/0/48 763000
gpu4 gpu208-18 30/18/0/48 763000
gpu4 gpu210-02 30/18/0/48 763000
gpu4 gpu210-06 39/9/0/48 763000
gpu4 gpu210-10 5/43/0/48 763000
gpu4 gpu210-14 1/47/0/48 763000
gpu4 gpu210-18 40/8/0/48 763000
gpu4 gpu211-02 32/16/0/48 763000
gpu4 gpu211-14 39/9/0/48 763000
gpu4 gpu212-02 39/9/0/48 763000
gpu4 gpu212-06 40/8/0/48 763000
gpu4 gpu212-14 44/4/0/48 763000
gpu4 gpu212-18 40/8/0/48 763000
gpu4 gpu213-06 30/18/0/48 763000
gpu4 gpu213-10 33/15/0/48 763000
gpu4 gpu213-14 27/21/0/48 763000
gpu4 gpu214-02 28/20/0/48 763000
gpu4 gpu214-06 38/10/0/48 763000
gpu4 gpu214-14 1/47/0/48 763000
gpu4 gpu214-18 33/15/0/48 763000
gpu4 gpu502-01 23/9/0/32 375618
gpu4 gpu502-06 1/31/0/32 375618
gpu4 gpu502-11 6/26/0/32 375618
gpu4 gpu504-37 1/31/0/32 375618
gpu4 gpu510-12 28/4/0/32 375618
gpu4 gpu510-17 13/19/0/32 375618
gpu4 gpu609-02 13/19/0/32 375618
gpu4 gpu609-03 12/20/0/32 375618
gpu4 gpu609-04 6/26/0/32 375618
gpu4 gpu609-05 12/20/0/32 375618
gpu4 gpu609-06 10/22/0/32 375618
gpu4 gpu609-07 7/25/0/32 375618
gpu4 gpu609-08 24/8/0/32 375618
gpu4 gpu609-09 13/19/0/32 375618
gpu4 gpu211-18 48/0/0/48 763000
gpu4 gpu212-10 48/0/0/48 763000
gpu4 gpu213-18 48/0/0/48 763000
gpu4 gpu214-10 48/0/0/48 763000
gpu4 gpu510-02 32/0/0/32 375618
gpu4 dgpu501-06 0/36/0/36 252715
gpu4 dgpu501-10 0/36/0/36 252715
gpu4 dgpu502-25 0/36/0/36 252715
gpu4 gpu211-06 0/48/0/48 763000
gpu4 gpu211-10 0/48/0/48 763000
gpu4 gpu213-02 0/48/0/48 763000
